"Record ID","Centre Code","ECDA code","Object create date/time","Object last modified date/time"
"2685690517","JSC","NT0506","2022-09-01 12:33","2024-07-30 00:10"
"2684120446","PC6","NT0557","2022-09-01 12:33","2024-07-30 00:14"
"2685690518","MK6","NT0508","2022-09-01 12:33","2024-07-30 00:14"
"2685690519","RVC03","NT0593","2022-09-01 12:33","2024-07-30 00:20"
"2684120440","SMC","NT0495","2022-09-01 12:33","2024-07-30 00:14"
"2684120441","CRC02","NT0569","2022-09-01 12:33","2024-07-30 00:21"
"2684120442","YTC","NT0390","2022-09-01 12:33","2024-07-30 00:11"
"2684120443","TP3","NT0524","2022-09-01 12:33","2024-07-30 00:22"
"2684120438","YAC","NT0518","2022-09-01 12:33","2024-07-30 00:12"
"2684120439","JEC","NT0250","2022-09-01 12:33","2024-07-30 00:20"
"2685690520","HDC","NT0510","2022-09-01 12:33","2024-07-30 00:09"
"7111243089","TP0524","TP0524","2023-06-26 07:05","2023-10-16 14:27"
"2683944809","TM3","NT0503","2022-09-01 12:33","2024-07-30 00:15"
"2685651075","PTC","NT0530","2022-09-01 12:33","2024-07-30 00:10"
"2683944808","CRC","NT0541","2022-09-01 12:33","2024-07-30 00:16"
"2685651074","YC4","NT0540","2022-09-01 12:33","2024-07-30 00:13"
"2683944811","SWC02","NT0566","2022-09-01 12:33","2024-07-30 10:42"
"2685651073","HVC01","NT0537","2022-09-01 12:33","2024-07-30 00:09"
"2683944810","PC2","NT0532","2022-09-01 12:33","2024-07-30 00:10"
"2685651072","KKH01","PT9729","2022-09-01 12:33","2024-07-30 13:06"
"12814595422","AKC02","TP0012","2024-04-12 13:45","2024-07-04 16:53"
"2685651079","WWP","NT0563","2022-09-01 12:33","2024-07-30 00:16"
"2685651078","DNI00","WP1109","2022-09-01 12:33","2024-07-26 17:03"
"2685651077","OCC","PT8001","2022-09-01 12:33","2024-07-29 18:58"
"9349049771","YCC07","TP0974","2023-10-11 22:12","2023-10-16 14:27"
"2685651076","JW3","NT0487","2022-09-01 12:33","2024-07-30 00:09"
"2685651082","CV2","NT0473","2022-09-01 12:33","2024-07-30 00:17"
"7835333021","CCK07","NT0603","2023-07-31 18:04","2024-07-16 17:09"
"2685651081","SGC","NT0549","2022-09-01 12:33","2024-07-30 00:13"
"2685651080","MCY","WP0739","2022-09-01 12:33","2024-07-29 18:49"
"2683944807","MK8","NT0534","2022-09-01 12:33","2024-07-30 00:16"
"2683944806","BLC","NT0516","2022-09-01 12:33","2024-07-30 00:16"
"2685450416","YCC05","NT0572","2022-09-01 12:33","2024-07-30 00:10"
"2685730997","PC4","NT0543","2022-09-01 12:33","2024-07-30 00:20"
"2685748917","BBC01","NT0410","2022-09-01 12:33","2024-07-30 00:12"
"2685769397","YC2","NT0360","2022-09-01 12:33","2024-07-30 00:20"
"2685450417","ALH","PT8716","2022-09-01 12:33","2024-07-30 13:24"
"2685730996","JWC","NT0220","2022-09-01 12:33","2024-07-30 00:09"
"2685769396","JW2","NT0470","2022-09-01 12:33","2024-07-30 00:15"
"2685450418","MTC","NT0499","2022-09-01 12:33","2024-07-30 00:14"
"2685748919","MK2","NT0350","2022-09-01 12:33","2024-07-30 00:19"
"2685450419","MBS","PT8623","2022-09-01 12:33","2024-07-29 18:46"
"2685748918","CSC","NT0547","2022-09-01 12:33","2024-07-30 00:11"
"2685769398","HCC","NT0290","2022-09-01 12:33","2024-07-30 00:10"
"2685554358","WPC","NT0300","2022-09-01 12:33","2024-07-30 00:21"
"2685730993","PCC07","NT0580","2022-09-01 12:33","2024-07-30 10:53"
"2685554359","PCC09","NT0590","2022-09-01 12:33","2024-07-30 00:16"
"2685730995","SWC","NT0542","2022-09-01 12:33","2024-07-30 10:31"
"2685769395","CCK04","NT0579","2022-09-01 12:33","2024-07-30 00:15"
"2685730994","GEC","NT0501","2022-09-01 12:33","2024-07-30 00:12"
"2685554360","CV4","NT0476","2022-09-01 12:33","2024-07-30 00:19"
"3609249931","TP0356","TP0356","2022-10-31 16:52","2023-10-16 14:27"
"2685748921","PC3","NT0536","2022-09-01 12:33","2024-07-30 00:20"
"2685748920","TP2","NT0509","2022-09-01 12:33","2024-07-30 00:14"
"2685495201","WDC01","NT0270","2022-09-01 12:33","2024-05-23 10:45"
"2685495200","BSC","NT0230","2022-09-01 12:33","2024-07-30 00:10"
"2685495203","WP2","NT0551","2022-09-01 12:33","2024-07-30 00:14"
"2685669542","JW6","NT0533","2022-09-01 12:33","2024-07-30 00:16"
"7098340779","TP0973","TP0973","2023-06-25 07:09","2023-10-16 14:27"
"2685495202","KBC","NT0070","2022-09-01 12:33","2024-07-30 00:12"
"2685669543","HC2","NT0460","2022-09-01 12:33","2024-07-30 00:10"
"2685495205","RVC","NT0521","2022-09-01 12:33","2024-07-30 00:10"
"2685495204","HCC05","NT0573","2022-09-01 12:33","2024-07-30 00:16"
"2685495206","WDC08","NT0578","2022-09-01 12:33","2024-07-30 00:19"
"2685450411","SJC","NT0519","2022-09-01 12:33","2024-07-30 00:21"
"2684032583","BKC01","NT0582","2022-09-01 12:33","2024-07-30 00:18"
"2685450412","SN3","NT0498","2022-09-01 12:33","2024-07-30 00:14"
"2685669544","SSC","NT0556","2022-09-01 12:33","2024-07-30 00:09"
"2684032582","CK2","NT0505","2022-09-01 12:33","2024-07-30 00:15"
"2685450413","BC2","NT0496","2022-09-01 12:33","2024-07-30 00:19"
"2685669545","PR4","NT0538","2022-09-01 12:33","2024-07-30 00:21"
"2684032581","OCB","WP0736","2022-09-01 12:33","2024-07-29 18:48"
"2685450414","TPC","NT0110","2022-09-01 12:33","2024-07-30 00:19"
"2685669546","BCC05","NT0583","2022-09-01 12:33","2024-07-30 00:17"
"2685450415","AV3","NT0528","2022-09-01 12:33","2024-07-30 00:14"
"2685669547","TEP01","PT9511","2022-09-01 12:33","2024-07-29 18:45"
"5100239166","CCK05","NT0599","2023-02-08 19:31","2024-07-30 00:20"
"2684143416","AV5","NT0554","2022-09-01 12:33","2024-07-30 00:16"
"2684143413","TP5","NT0548","2022-09-01 12:33","2024-07-30 00:15"
"2684143414","PC5","NT0550","2022-09-01 12:33","2024-07-30 00:22"
"2684143415","EFC","NT0507","2022-09-01 12:33","2024-07-30 00:21"
"3613152392","NT0596","NT0596","2022-10-31 20:47","2023-10-16 14:27"
"2683986706","CV3","NT0477","2022-09-01 12:33","2024-07-30 00:13"
"10693539720","YCC06","NT0605","2023-11-16 23:43","2024-07-30 00:19"
